z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
8.699999999999999956e-01,8.242389258360053645e+02,7.905265078668550123e+05,7.337508495611623526e+08,6.161891615837728271e+11,1.784649096751549635e+01,1.426700464437025140e+01,1.055888825619807214e+01,6.706652704204662641e+00
8.999999999999999112e-01,8.183027477059379180e+02,7.835942315274177818e+05,7.252980150476678610e+08,6.052203807487949219e+11,1.766140952003486575e+01,1.412342196313628939e+01,1.045875389896932361e+01,6.654060170031023347e+00
9.299999999999999378e-01,8.123892133629964292e+02,7.766987459147797199e+05,7.169138126695520878e+08,5.944137866089696045e+11,1.747898330230679420e+01,1.398185549233426528e+01,1.035999232861163932e+01,6.602178708750750857e+00
9.599999999999999645e-01,8.064990667036222476e+02,7.698408853721265914e+05,7.085989939617112875e+08,5.837686766774382324e+11,1.729913445217568579e+01,1.384224708584570251e+01,1.026256480650350333e+01,6.550987818621072378e+00
9.899999999999999911e-01,8.006330032302083737e+02,7.630214207981686341e+05,7.003542234356075525e+08,5.732842355812158203e+11,1.712178944239418499e+01,1.370454186960323639e+01,1.016643481223567491e+01,6.500468199482534182e+00
1.020000000000000018e+00,7.947916729122325705e+02,7.562410634759826353e+05,6.921800841774281263e+08,5.629595447586894531e+11,1.694687879899037952e+01,1.356868802902527094e+01,1.007156789925199192e+01,6.450601674986518930e+00
1.050000000000000044e+00,7.889756828466910292e+02,7.495004686354090227e+05,6.840770830577552319e+08,5.527935914433485107e+11,1.677433684176245166e+01,1.343463661312128288e+01,9.977931561788905057e+00,6.401371120867227482e+00
1.080000000000000071e+00,7.831855997346211780e+02,7.428002387710494222e+05,6.760456555843510628e+08,5.427852769909722290e+11,1.660410144486316142e+01,1.330234135373331483e+01,9.885495112073190427e+00,6.352760398701887468e+00
1.109999999999999876e+00,7.774219521888833242e+02,7.361409267357961508e+05,6.680861704266657829e+08,5.329334246022413330e+11,1.643611381564950591e+01,1.317175849853984282e+01,9.794229566846038182e+00,6.304754294661280234e+00
1.139999999999999902e+00,7.716852328869020994e+02,7.295230386279209051e+05,6.601989336380070448e+08,5.232367864880344238e+11,1.627031829016132747e+01,1.304284665658956222e+01,9.704107542377601092e+00,6.257338462803883949e+00
1.169999999999999929e+00,7.659759005807910626e+02,7.229470364880746929e+05,6.523841925989167690e+08,5.136940505204515991e+11,1.610666214375913796e+01,1.291556665525799019e+01,9.615103157221053465e+00,6.210499372512519933e+00
1.199999999999999956e+00,7.602943819761110262e+02,7.164133408210393973e+05,6.446421397031674385e+08,5.043038464088155518e+11,1.594509541559865973e+01,1.278988140763060244e+01,9.527191942030352578e+00,6.164224259712530518e+00
1.229999999999999982e+00,7.546410734894993766e+02,7.099223329557180405e+05,6.369729158058754206e+08,4.950647514364985352e+11,1.578557074575061492e+01,1.266575578941458247e+01,9.440350755832644936e+00,6.118501081546240172e+00
1.260000000000000009e+00,7.490163428944626958e+02,7.034743572556475410e+05,6.293766134515056610e+08,4.859752957913467407e+11,1.562804322389033729e+01,1.254315652456893559e+01,9.354557708205636146e+00,6.073318474210291029e+00
1.290000000000000036e+00,7.434205308638054248e+02,6.970697231912281131e+05,6.218532798979988098e+08,4.770339675197156372e+11,1.547247024858555697e+01,1.242205207892045671e+01,9.269792086863134273e+00,6.028665713690613437e+00
1.319999999999999840e+00,7.378539524164200429e+02,6.907087072838858003e+05,6.144029199518570900e+08,4.682392171316143799e+11,1.531881139630267263e+01,1.230241256110253545e+01,9.186034290198927366e+00,5.984532679155087465e+00
1.349999999999999867e+00,7.323168982754891658e+02,6.843915549315087264e+05,6.070254986277709007e+08,4.595894618822048950e+11,1.516702829933450047e+01,1.218420963021590175e+01,9.103265764381536229e+00,5.940909818786400010e+00
