z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
1.080000000000000071e+00,8.420918534188223248e+02,7.735541683745508781e+05,6.764781718038936853e+08,5.385687252086307373e+11,2.062726019554288470e+01,1.306862157707660188e+01,8.595354259161602783e+00,5.850429879074831696e+00
1.109999999999999876e+00,8.377379401285461427e+02,7.675103082756754011e+05,6.684552411822912693e+08,5.285910340872763062e+11,2.030000907808091881e+01,1.288148979058295573e+01,8.492359855183414297e+00,5.804022412735850622e+00
1.139999999999999902e+00,8.333950777269618584e+02,7.614954822434553644e+05,6.605036589530067444e+08,5.187718987867592163e+11,1.997607693430677855e+01,1.269614642069097066e+01,8.390258086487390798e+00,5.757974500198311141e+00
1.169999999999999929e+00,8.290636454935551001e+02,7.555102513343540486e+05,6.526238008874975443e+08,5.091100785022174072e+11,1.965542252369552756e+01,1.251256759833194110e+01,8.289036312160117603e+00,5.712283947590131916e+00
1.199999999999999956e+00,8.247440023051567550e+02,7.495551376933001447e+05,6.448159804528352022e+08,4.996042625769528809e+11,1.933803972591484666e+01,1.233074971128652741e+01,8.188693232899451502e+00,5.666954028147507927e+00
1.229999999999999982e+00,8.204364877222217274e+02,7.436306266824461054e+05,6.370804526457560062e+08,4.902530770852272949e+11,1.902396033864323499e+01,1.215071103575974298e+01,8.089239802727966833e+00,5.621993843538508173e+00
1.260000000000000009e+00,8.161414230051748291e+02,7.377371688753920607e+05,6.294174175840276480e+08,4.810550909540151367e+11,1.871325601530902816e+01,1.197249287573997023e+01,7.990699865140824087e+00,5.577418538126810432e+00
1.290000000000000036e+00,8.118591120661984633e+02,7.318751819269992411e+05,6.218270238729187250e+08,4.720088216574201050e+11,1.840603904327383589e+01,1.179616003763875831e+01,7.893110417856139094e+00,5.533249322731536246e+00
1.319999999999999840e+00,8.075898423613592740e+02,7.260450523280273192e+05,6.143093717630347013e+08,4.631127405146859741e+11,1.810246167793840399e+01,1.162180047620428880e+01,7.796521415397548616e+00,5.489513268841117011e+00
1.349999999999999867e+00,8.033338857275393821e+02,7.202471370530343847e+05,6.068645161144183874e+08,4.543652776202030640e+11,1.780271380147100402e+01,1.144952397820914847e+01,7.700995036090735546e+00,5.446242844636341118e+00
1.379999999999999893e+00,7.990914991682464006e+02,7.144817651092535816e+05,5.994924691805706024e+08,4.457648264316307983e+11,1.750701877057704436e+01,1.127945980537182535e+01,7.606604371004156206e+00,5.403475180905584097e+00
1.409999999999999920e+00,7.948629255920344576e+02,7.087492389935154933e+05,5.921932032249239683e+08,4.373097480401757202e+11,1.721562745335154077e+01,1.111175329590023786e+01,7.513431536015621859e+00,5.361251077201259818e+00
1.439999999999999947e+00,7.906483945069491028e+02,7.030498360636929283e+05,5.849666529812970161e+08,4.289983751451784058e+11,1.692881061955402089e+01,1.094656151849041592e+01,7.421565260869645186e+00,5.319613784255761146e+00
1.469999999999999973e+00,7.864481226741165756e+02,6.973838098306178581e+05,5.778127179689216614e+08,4.208290157534405518e+11,1.664685002175179562e+01,1.078404817214939193e+01,7.331098064377758128e+00,5.278607624364323847e+00
1.500000000000000000e+00,7.822623147233555301e+02,6.917513911759289913e+05,5.707312646718105078e+08,4.127999566221607666e+11,1.637002866070014306e+01,1.062437801488550448e+01,7.242123174441192468e+00,5.238276533011680058e+00
1.530000000000000027e+00,7.780911637334404531e+02,6.861527895008814521e+05,5.637221285914635658e+08,4.049094664629083862e+11,1.609862083990694259e+01,1.046771116849183514e+01,7.154731386648967906e+00,5.198662618413326442e+00
1.560000000000000053e+00,7.739348517794393274e+02,6.805881938107465394e+05,5.567851161812239885e+08,3.971557989227686157e+11,1.583288265954875307e+01,1.031419767266930343e+01,7.069008068833326774e+00,5.159804837885153539e+00
1.589999999999999858e+00,7.697935504493574399e+02,6.750577737390644616e+05,5.499200066699576378e+08,3.895371953575830688e+11,1.557304356774042375e+01,1.016397264324528393e+01,6.985030507725553228e+00,5.121737879993459863e+00
1.619999999999999885e+00,7.656674213321417710e+02,6.695616805156917544e+05,5.431265537821559906e+08,3.820518874111248169e+11,1.531929948093508287e+01,1.001715232815296908e+01,6.902865758952365205e+00,5.084491320530337255e+00
1.649999999999999911e+00,7.615566164789375989e+02,6.641000478822782170e+05,5.364044873610340953e+08,3.746980994130353394e+11,1.507180782220306270e+01,9.873831261075752153e+00,6.822569108713106623e+00,5.048089091850371801e+00
1.679999999999999938e+00,7.574612788393478695e+02,6.586729929585320642e+05,5.297535149007145762e+08,3.674740506074332886e+11,1.483068463335198217e+01,9.734080601795584542e+00,6.744183193353372019e+00,5.012549273630517277e+00
1.709999999999999964e+00,7.533815426743124135e+02,6.532806170623908984e+05,5.231733229931414723e+08,3.603779572232530518e+11,1.459600372460493745e+01,9.597947641756176651e+00,6.667737761464862523e+00,4.977884183510354887e+00
1.739999999999999991e+00,7.493175339470968765e+02,6.479230064869750058e+05,5.166635786949713230e+08,3.534080343965949707e+11,1.436779766065754060e+01,9.465456358594058983e+00,6.593250010679918560e+00,4.944100722319554997e+00
1.770000000000000018e+00,7.452693706937812976e+02,6.426002332369963406e+05,5.102239308193073273e+08,3.465624979546511841e+11,1.414606026269103189e+01,9.336608834940976820e+00,6.520725393801458658e+00,4.911200913135050250e+00
1.799999999999999822e+00,7.412371633745217423e+02,6.373123557271033060e+05,5.038540111568098664e+08,3.398395660701085815e+11,1.393075023999717388e+01,9.211387319075200253e+00,6.450158768682922705e+00,4.879182566898540685e+00
1.829999999999999849e+00,7.372210152067819990e+02,6.320594194444621680e+05,4.975534356303943396e+08,3.332374607943186035e+11,1.372179555003615192e+01,9.089756696708228390e+00,6.381535762529910727e+00,4.848040008896838948e+00
1.859999999999999876e+00,7.332210224816305981e+02,6.268414575777152786e+05,4.913218053874458075e+08,3.267544094769666748e+11,1.351909811259502447e+01,8.971667158915735740e+00,6.314834230924012637e+00,4.817764808175363456e+00
1.889999999999999902e+00,7.292372748641325870e+02,6.216584916143072769e+05,4.851587078332064152e+08,3.203886460794470215e+11,1.332253855704237111e+01,8.857056882202352099e+00,6.250025709939465379e+00,4.788346463357723515e+00
1.919999999999999929e+00,7.252698556787851203e+02,6.165105319080319023e+05,4.790637176087513566e+08,3.141384123886685181e+11,1.313198076721032592e+01,8.745854586163154920e+00,6.187076787829755453e+00,4.759773013334305247e+00
1.949999999999999956e+00,7.213188421808855537e+02,6.113975782185258577e+05,4.730363975167385936e+08,3.080019591375775757e+11,1.294727601746144607e+01,8.637981851271577582e+00,6.125950333156560568e+00,4.732031549212862842e+00
1.979999999999999982e+00,7.173843058146542262e+02,6.063196202243205626e+05,4.670762993979111314e+08,3.019775470382622681e+11,1.276826663765931258e+01,8.533355162332396660e+00,6.066606562224034604e+00,4.705108624156082442e+00
