z,mass_msun,concentration_ludlow16
5.765051121060603689e-01,7.321025137418964844e+11,7.263900169500899118e+00
5.834641051190131433e-01,7.291745333106186523e+11,7.249672058600507007e+00
5.905071001342678816e-01,7.262199458498410645e+11,7.235328483978110015e+00
5.976351111399662575e-01,7.232386613412869873e+11,7.220868876384375135e+00
6.048491643640998561e-01,7.202305940271785889e+11,7.206292668779796351e+00
6.121502984222584320e-01,7.171956625546430664e+11,7.191599296440857714e+00
6.195395644671597424e-01,7.141337901222419434e+11,7.176788197070416153e+00
6.270180263399862675e-01,7.110449046285900879e+11,7.161858810912585582e+00
6.345867607235464725e-01,7.079289388230292969e+11,7.146810580872343444e+00
6.422468572972866996e-01,7.047858304583215332e+11,7.131642952640197208e+00
6.499994188941741191e-01,7.016155224453132324e+11,7.116355374822148860e+00
6.578455616594712785e-01,6.984179630095313721e+11,7.100947299075319741e+00
6.657864152114308931e-01,6.951931058496580811e+11,7.085418180249522635e+00
6.738231228039262000e-01,6.919409102978315430e+11,7.069767476535108841e+00
6.819568414910484044e-01,6.886613414817164307e+11,7.053994649617512991e+00
6.901887422936875405e-01,6.853543704882805176e+11,7.038099164838763855e+00
6.985200103681270534e-01,6.820199745292142334e+11,7.022080491366427424e+00
7.069518451766709788e-01,6.786581371079219971e+11,7.005938102370371290e+00
7.154854606603329170e-01,6.752688481880083008e+11,6.989671475207728690e+00
7.241220854136073415e-01,6.718521043631851807e+11,6.973280091616553378e+00
7.328629628613532176e-01,6.684079090285120850e+11,6.956763437918595194e+00
7.417093514378099162e-01,6.649362725528811035e+11,6.940121005231694618e+00
7.506625247677763957e-01,6.614372124526539307e+11,6.923352289692286554e+00
7.597237718499765258e-01,6.579107535663547363e+11,6.906456792688503654e+00
7.688943972426361961e-01,6.543569282303103027e+11,6.889434021104503536e+00
7.781757212513046307e-01,6.507757764551313477e+11,6.872283487576479111e+00
7.875690801189375589e-01,6.471673461029219971e+11,6.855004710761032349e+00
7.970758262182801035e-01,6.435316930650936279e+11,6.837597215616468382e+00
8.066973282465674799e-01,6.398688814406630859e+11,6.820060533697665406e+00
8.164349714225792587e-01,6.361789837148988037e+11,6.802394203465190969e+00
8.262901576860701702e-01,6.324620809381822510e+11,6.784597770609336997e+00
8.362643058996095391e-01,6.287182629049410400e+11,6.766670788389816060e+00
8.463588520528558812e-01,6.249476283325040283e+11,6.748612817991813451e+00
