z,mass_msun,concentration_ludlow16
1.026688030010777375e+01,1.089774759701564550e+09,2.782165871793228717e+00
1.039081180873267662e+01,9.995435800117801428e+08,2.772524476040282959e+00
1.051623929455621109e+01,9.158027849314217567e+08,2.763040230569406397e+00
1.064318081551863493e+01,8.381693734277943373e+08,2.753710623158948767e+00
1.077165464753758606e+01,7.662765146514935493e+08,2.744533198129831320e+00
1.090167928713933065e+01,6.997733054332408905e+08,2.735505555542046441e+00
1.103327345412166594e+01,6.383245022829838991e+08,2.726625350388804936e+00
1.116645609424906915e+01,5.816102296878800392e+08,2.717890291789298640e+00
1.130124638198033793e+01,5.293256665378365517e+08,2.709298142180970537e+00
1.143766372322915359e+01,4.811807125297724009e+08,2.700846716512133927e+00
1.157572775815797606e+01,4.368996364151643515e+08,2.692533881435663634e+00
1.171545836400564333e+01,3.962207079596742392e+08,2.684357554504468002e+00
1.185687565794918008e+01,3.588958154789201021e+08,2.676315703369343435e+00
1.200000000000000000e+01,3.246900708011248708e+08,2.668406344979776357e+00
